date,total_cases,pop,areaidx,polyid_city,yearx,urban,transportation,Cropland,Forest,Grassland,Shrub,elevation,in_migration,in_migration_norm,out_migration,out_migration_norm2,Tmean,Precipitation,Rh,Sun,cityid,countyid,year,month,logpop,polyid,cityx,Tmean_1m,Precipitation_1m,Rh_1m,Sun_1m,Tmean_2m,Precipitation_2m,Rh_2m,Sun_2m,Tmean_3m,Precipitation_3m,Rh_3m,Sun_3m,Tmean_4m,Precipitation_4m,Rh_4m,Sun_4m,Tmean_5m,Precipitation_5m,Rh_5m,Sun_5m,Tmean_6m,Precipitation_6m,Rh_6m,Sun_6m,Rh_06m,Sun_01m,Precipitation_02m,urban_log,transportation_log,out_migration_g,in_migration_g,Cropland_log,Grassland_g,Shrub_g,elevation_g,Precipitation_02m_log,Tmean_1m_g,Rh_3m_g,Sun_01m_g
2021/11/1,0,954.4,16,2,11,78.4,11523.012,554.4963,140.9337,9.00E-04,9.00E-04,20.550996,2.03787252,0.398155295,2.19514536,0.513204334,13.76622301,107.3364307,75.98290215,98.22906463,330200,330282,2021,11,-2.349257501,31,6,20.829637,186.5383425,71.16477502,107.3149623,26.58327481,195.7028595,80.16223177,147.0198978,28.22576098,237.7438279,75.78264845,200.0128189,28.37716316,347.8625531,83.54906913,210.8211907,25.01178793,253.3656161,88.5766451,135.7709021,22.24863286,219.4935373,80.09607948,147.0198978,79.33062159,102.7720135,163.1925442,4.374498368,9.352188138,0.511560347,0.390064764,6.319861948,0.0189,9.00E-04,12.105322,5.101039789,21.11270064,75.48253272,100.1483795
2012/11/1,0,915.6,17,3,2,66.7,7915.53,196.4196,2372.8212,0.2889,0.279,420.668418,1.7802828,0.574730783,1.285186761,0.374535181,14.75717666,186.0072389,75.3886515,100.5907845,330300,330324,2012,11,-2.390760784,54,10,20.59602246,30.90708568,65.85082469,224.6602525,24.19683377,237.8096569,73.94990296,157.8182046,28.59997922,243.1679556,74.85253591,205.5908189,29.24053363,104.1381623,74.86482538,259.8638299,25.15547149,364.9300722,82.90361808,90.13030701,21.79821511,231.4630681,77.10016826,112.8224302,74.98721811,162.6255185,151.5746605,4.21508618,8.976708257,0.365615499,0.565108529,5.285331413,0.2745,0.279,419.8709655,5.027654053,20.32156853,74.60569857,160.0071731
2022/3/1,0,251.5,56,10,12,63.5,15135,91.3167,1788.7725,1.206,0.0792,871.168662,0.450041226,0.465559087,0.388878387,0.368022775,15.70448816,222.4406519,83.42696056,82.15965564,331100,331126,2022,3,-3.682897382,27,5,6.986625102,134.3212565,60.59238893,97.05619612,8.872994878,72.08333983,71.84428375,97.05619612,9.757758025,37.87418657,75.37499064,132.1171284,14.08912401,96.72954726,75.38418929,138.2343214,20.72524328,134.7362403,67.61980819,126.1865049,27.64840642,94.31771831,71.30919625,106.1253107,72.22168823,89.60792588,142.9484161,4.166665224,9.624831291,0.365615499,0.459548681,4.525225057,1.206,0.0738,871.168662,4.969455014,7.219989517,75.48253272,87.29434144
2012/7/1,0,454.4,20,4,2,55.3,7863.2,363.492,0.1872,0.0324,0.0018,3.362198,1.228648761,0.309868979,1.1462976,0.371197426,29.83765648,90.71803326,71.16492676,257.1724155,330400,330402,2012,7,-3.091362505,12,3,24.67689567,230.9586058,81.46390618,104.8009603,21.23568202,158.1871868,73.86194114,162.1587488,17.96634223,111.4570744,70.1382769,172.336797,9.871547041,201.4406673,73.81447625,126.3175736,4.555772208,113.8643209,75.75142795,67.38827914,4.64005834,104.3375381,74.82818817,72.15107445,74.43187762,180.9866879,159.9546086,4.030694535,8.970076094,0.365615499,0.309868979,5.898504603,0.0189,9.00E-04,12.105322,5.081122391,24.96099241,70.20986951,179.1966463
2021/3/1,0,954.4,12,2,11,78.4,11523.012,298.1079,844.506,0.0324,0.0063,203.561224,2.030649097,0.395256475,1.812302361,0.410878219,12.73331508,154.2334827,77.39828377,116.0981457,330200,330213,2021,3,-2.349257501,32,6,10.82669836,35.60031808,76.10983898,120.8668206,6.81416148,10.40241385,71.14021505,121.5174811,8.247585223,23.09619459,71.12789695,121.5174811,15.97205744,28.35148929,76.10983898,120.8668206,19.42487246,23.56227192,72.37151903,148.7804003,23.94875175,151.7403065,79.92168227,121.607195,74.88275358,118.4824832,66.74540488,4.374498368,9.352188138,0.410358747,0.390064764,5.700804378,0.0189,9.00E-04,203.561224,4.215756633,11.12303605,71.14021505,119.9508454
2018/8/1,0,325.9,22,5,8,63.5,8079,410.4081,232.3629,0.0189,9.00E-04,44.951634,1.488066043,0.592137222,1.2128724,0.517232966,29.07508888,281.974959,77.52854043,228.8006533,330500,330502,2018,8,-3.423749786,10,2,29.28869291,176.6384764,76.64728849,238.6490655,25.36363292,169.7543758,75.93067099,183.895897,22.87555684,174.640657,76.57946971,144.6222686,18.21183804,137.8447646,68.68972451,188.6980714,12.68790881,95.17002404,76.45924351,151.0746159,5.405675354,57.78310934,73.73773719,126.692802,75.08181069,233.7248594,209.4559371,4.166665224,8.997147152,0.511560347,0.588422476,6.019585666,0.0189,9.00E-04,36.857972,5.349276306,29.55605406,76.31589737,232.2395179
2017/6/1,0,501,31,6,7,65.5,10136,602.8344,1447.4475,0.0513,9.00E-04,167.086052,2.1154068,0.644729298,1.8023688,0.518755667,23.70155149,428.734085,83.82162097,73.56808603,330600,330681,2017,6,-2.993734271,44,8,22.50637573,112.5138931,70.39710239,200.4470055,18.09424108,186.6125354,67.67385519,187.7440953,11.04734868,177.7074416,73.15614553,116.9047536,7.822860543,37.8313624,67.18625382,131.4570766,7.711329646,61.9533729,77.4707793,114.1291496,9.681899151,37.10964857,77.85985981,125.0087778,73.93794529,137.0075458,242.6201712,4.197201948,9.223947375,0.511560347,0.643658664,6.403299988,0.072,9.00E-04,167.086052,5.495610337,22.65560618,72.81342099,139.6927838
2014/10/1,0,601.5,44,9,4,59.5,12283,151.0515,42.354,0.0261,9.00E-04,20.463846,0.79266708,0.565108529,1.277178735,0.477648805,20.61878773,24.26148901,69.06378561,214.689271,331000,331002,2014,10,-2.810913837,46,9,25.15438093,269.786406,82.45005672,115.4629397,27.03085673,290.3037406,84.68306053,116.6015963,28.02168059,153.8894052,80.23039523,214.8295092,23.76431069,307.6080432,83.44466992,110.9836915,20.69404057,221.9361122,79.96596207,103.154803,16.25153639,142.2519951,77.91517581,109.2620512,79.67901513,165.0761054,194.7838785,4.102643365,9.416052882,0.488397369,0.565108529,5.024219279,0.0189,9.00E-04,12.105322,5.27701139,24.96099241,80.66180699,166.0176124
2019/6/1,0,956.1,18,3,9,70.5,14904,142.7868,1603.5705,0.3384,0.0288,608.36327,1.5181776,0.207510767,1.814004,0.465744716,24.55798901,348.2661164,88.33461764,93.69938973,330300,330329,2019,6,-2.347477862,53,10,21.32164878,110.8884558,74.71308172,129.1850279,18.35018826,218.6862469,84.48843275,107.2246211,13.27158099,164.8896905,81.30045835,98.58384539,9.794437261,159.159808,87.32598665,22.23497697,9.570285373,65.12552683,80.3861446,86.19721693,11.49752315,49.05292462,80.06360819,56.15492384,82.37318999,111.4422088,225.9469397,4.26969745,9.609452006,0.457776718,0.20642163,4.968331647,0.3249,0.0216,608.36327,5.424716244,21.11270064,81.56708264,113.3259995
2020/4/1,0,529.1,33,6,10,71.02,10381,534.537,1139.2542,0.0927,9.00E-04,246.933992,1.662522686,0.505438015,1.554922286,0.505193976,16.15533861,53.67498191,62.75887767,192.4742718,330600,330683,2020,4,-2.939162922,41,8,12.84251563,134.2457586,75.84629818,99.31505127,10.06837126,88.28137488,75.64307388,114.5204325,7.706830552,160.6626585,83.40134788,67.06320544,9.08124138,81.33955873,78.57691669,133.057998,14.42033397,31.49226189,74.08310223,139.7093237,19.75170546,147.9646351,77.8849057,145.5416388,75.45636032,145.8946615,92.0673718,4.276943858,9.247828816,0.511560347,0.512607748,6.283269982,0.072,9.00E-04,246.933992,4.533323659,12.67106889,83.24733558,146.7052736
